Automóvil,Rendimiento_mpg,Caballos_de_Fuerza,Peso,Aceleracion,Año,Origen
1,39,70,1835,17,80,2
2,37,65,1975,19,81,3
3,37,68,2025,18,82,3
4,36,70,2125,17,82,1
5,34,83,2075,16,77,1
6,34,70,2245,17,82,3
7,33,52,1985,19,78,3
8,32,67,1965,16,82,3
9,32,61,2003,19,74,3
10,31,52,1649,17,74,3
11,29,70,1937,14,76,2
12,27,88,2130,15,70,3
13,27,97,2300,15,78,3
14,26,89,2755,16,77,1
15,26,75,2246,14,74,2
16,26,88,2870,18,80,1
17,25,60,2164,22,76,1
18,25,80,2126,17,72,1
19,24,110,2725,13,81,1
20,24,85,2855,18,78,1
21,24,97,2405,15,78,3
22,23,90,3085,18,76,1
23,23,78,2592,19,75,1
24,23,83,2639,17,75,1
25,23,95,2904,16,73,1
26,22,110,2720,14,77,3
27,22,98,2945,15,75,2
28,20,122,2807,14,73,3
29,20,95,3102,17,74,1
30,19,110,3620,19,78,1
31,19,108,2930,16,76,3
32,19,95,3264,16,75,1
33,19,90,3381,19,80,1
34,18,100,2945,16,73,1
35,18,88,3021,17,73,1
36,18,88,3139,15,71,1
37,18,100,3288,16,71,1
38,18,120,3410,15,78,1
39,17,138,3955,13,79,1
40,16,150,3433,12,70,1
41,16,170,4668,12,75,1
42,14,150,4464,12,73,1
43,14,150,4077,14,72,1
44,14,150,4096,13,71,1
45,14,175,4464,12,71,1
46,14,140,4638,16,74,1
47,13,180,4955,12,71,1
48,12,160,4456,14,72,1
49,12,225,4951,11,73,1
50,11,150,4997,14,73,1
